Year,Month_Num,Month_Name,Quarter,Dept_Name,Monthly_Revenue,Monthly_Cost,Monthly_Gross_Profit,YTD_Revenue,Prev_Month_Revenue,MoM_Growth_Pct,Three_Month_Avg_Revenue
2022,1,January,Q1,"Human Resources",500000,480000,20000,500000,NULL,NULL,500000
2022,2,February,Q1,"Human Resources",510000,485000,25000,1010000,500000,2.00,505000
2022,3,March,Q1,"Human Resources",520000,490000,30000,1530000,510000,1.96,510000
2022,4,April,Q2,"Human Resources",530000,500000,30000,2060000,520000,1.92,520000
2022,5,May,Q2,"Human Resources",540000,510000,30000,2600000,530000,1.89,530000
2022,6,June,Q2,"Human Resources",550000,520000,30000,3150000,540000,1.85,540000
2022,7,July,Q3,"Human Resources",545000,515000,30000,3695000,550000,-0.91,545000
2022,8,August,Q3,"Human Resources",548000,518000,30000,4243000,545000,0.55,547667
2022,9,September,Q3,"Human Resources",542000,512000,30000,4785000,548000,-1.09,545000
2022,10,October,Q4,"Human Resources",555000,525000,30000,5340000,542000,2.40,548333
2022,11,November,Q4,"Human Resources",558000,528000,30000,5898000,555000,0.54,551667
2022,12,December,Q4,"Human Resources",565000,535000,30000,6463000,558000,1.25,559333
2023,1,January,Q1,"Human Resources",520000,495000,25000,520000,565000,-7.96,547667
2023,2,February,Q1,"Human Resources",525000,498000,27000,1045000,520000,0.96,536667
2023,3,March,Q1,"Human Resources",530000,502000,28000,1575000,525000,0.95,525000
2023,4,April,Q2,"Human Resources",535000,505000,30000,2110000,530000,0.94,530000
2023,5,May,Q2,"Human Resources",538000,508000,30000,2648000,535000,0.56,534333
2023,6,June,Q2,"Human Resources",542000,512000,30000,3190000,538000,0.74,538333
2023,7,July,Q3,"Human Resources",540000,510000,30000,3730000,542000,-0.37,540000
2023,8,August,Q3,"Human Resources",543000,513000,30000,4273000,540000,0.56,541667
2023,9,September,Q3,"Human Resources",538000,508000,30000,4811000,543000,-0.92,540333
2023,10,October,Q4,"Human Resources",548000,518000,30000,5359000,538000,1.86,543000
2023,11,November,Q4,"Human Resources",552000,522000,30000,5911000,548000,0.73,546000
2023,12,December,Q4,"Human Resources",560000,530000,30000,6471000,552000,1.45,553333
2024,1,January,Q1,"Human Resources",528000,500000,28000,528000,560000,-5.71,546667
2024,2,February,Q1,"Human Resources",532000,503000,29000,1060000,528000,0.76,540000
2024,3,March,Q1,"Human Resources",535000,506000,29000,1595000,532000,0.56,531667
2024,4,April,Q2,"Human Resources",538000,508000,30000,2133000,535000,0.56,535000
2024,5,May,Q2,"Human Resources",541000,511000,30000,2674000,538000,0.56,538000
2024,6,June,Q2,"Human Resources",544000,514000,30000,3218000,541000,0.55,541000
2024,7,July,Q3,"Human Resources",542000,512000,30000,3760000,544000,-0.37,542333
2024,8,August,Q3,"Human Resources",544000,514000,30000,4304000,542000,0.37,543333
2024,9,September,Q3,"Human Resources",540000,510000,30000,4844000,544000,-0.74,542000
2024,10,October,Q4,"Human Resources",547000,517000,30000,5391000,540000,1.30,543667
2024,11,November,Q4,"Human Resources",550000,520000,30000,5941000,547000,0.55,545667
2024,12,December,Q4,"Human Resources",558000,528000,30000,6499000,550000,1.45,551667
2022,1,January,Q1,IT,600000,550000,50000,600000,NULL,NULL,600000
2022,2,February,Q1,IT,615000,560000,55000,1215000,600000,2.50,607500
2022,3,March,Q1,IT,630000,580000,50000,1845000,615000,2.44,615000
2022,4,April,Q2,IT,650000,600000,50000,2495000,630000,3.17,631667
2022,5,May,Q2,IT,670000,620000,50000,3165000,650000,3.08,650000
2022,6,June,Q2,IT,690000,640000,50000,3855000,670000,2.99,670000
2022,7,July,Q3,IT,680000,630000,50000,4535000,690000,-1.45,680000
2022,8,August,Q3,IT,685000,635000,50000,5220000,680000,0.74,685000
2022,9,September,Q3,IT,675000,625000,50000,5895000,685000,-1.46,680000
2022,10,October,Q4,IT,700000,648000,52000,6595000,675000,3.70,686667
2022,11,November,Q4,IT,710000,655000,55000,7305000,700000,1.43,695000
2022,12,December,Q4,IT,720000,665000,55000,8025000,710000,1.41,710000
2023,1,January,Q1,IT,625000,575000,50000,625000,720000,-13.19,685000
2023,2,February,Q1,IT,635000,582000,53000,1260000,625000,1.60,660000
2023,3,March,Q1,IT,645000,592000,53000,1905000,635000,1.57,635000
2023,4,April,Q2,IT,655000,600000,55000,2560000,645000,1.55,645000
2023,5,May,Q2,IT,660000,608000,52000,3220000,655000,0.76,653333
2023,6,June,Q2,IT,668000,615000,53000,3888000,660000,1.21,661000
2023,7,July,Q3,IT,665000,612000,53000,4553000,668000,-0.45,664333
2023,8,August,Q3,IT,667000,614000,53000,5220000,665000,0.30,666667
2023,9,September,Q3,IT,662000,609000,53000,5882000,667000,-0.75,664667
2023,10,October,Q4,IT,675000,622000,53000,6557000,662000,1.96,668000
2023,11,November,Q4,IT,682000,628000,54000,7239000,675000,1.04,673000
2023,12,December,Q4,IT,725000,670000,55000,7964000,682000,6.30,694000
2024,1,January,Q1,IT,638000,588000,50000,638000,725000,-12.00,681667
2024,2,February,Q1,IT,645000,595000,50000,1283000,638000,1.10,669333
2024,3,March,Q1,IT,652000,602000,50000,1935000,645000,1.09,645000
2024,4,April,Q2,IT,658000,608000,50000,2593000,652000,0.92,651667
2024,5,May,Q2,IT,664000,614000,50000,3257000,658000,0.91,658000
2024,6,June,Q2,IT,670000,620000,50000,3927000,664000,0.90,664000
2024,7,July,Q3,IT,667000,617000,50000,4594000,670000,-0.45,667000
2024,8,August,Q3,IT,670000,620000,50000,5264000,667000,0.45,669000
2024,9,September,Q3,IT,664000,614000,50000,5928000,670000,-0.90,667000
2024,10,October,Q4,IT,675000,624000,51000,6603000,664000,1.66,669667
2024,11,November,Q4,IT,680000,630000,50000,7283000,675000,0.74,673000
2024,12,December,Q4,IT,728000,672000,56000,8011000,680000,7.06,694333
2022,1,January,Q1,Marketing,1800000,1400000,400000,1800000,NULL,NULL,1800000
2022,2,February,Q1,Marketing,1750000,1380000,370000,3550000,1800000,-2.78,1775000
2022,3,March,Q1,Marketing,1900000,1500000,400000,5450000,1750000,8.57,1816667
2022,4,April,Q2,Marketing,2100000,1600000,500000,7550000,1900000,10.53,1916667
2022,5,May,Q2,Marketing,2300000,1700000,600000,9850000,2100000,9.52,2100000
2022,6,June,Q2,Marketing,2500000,1850000,650000,12350000,2300000,8.70,2300000
2022,7,July,Q3,Marketing,2400000,1800000,600000,14750000,2500000,-4.00,2400000
2022,8,August,Q3,Marketing,2450000,1820000,630000,17200000,2400000,2.08,2450000
2022,9,September,Q3,Marketing,2300000,1750000,550000,19500000,2450000,-6.12,2383333
2022,10,October,Q4,Marketing,2600000,1900000,700000,22100000,2300000,13.04,2450000
2022,11,November,Q4,Marketing,2700000,1980000,720000,24800000,2600000,3.85,2533333
2022,12,December,Q4,Marketing,2900000,2100000,800000,27700000,2700000,7.41,2733333
2023,1,January,Q1,Marketing,1900000,1480000,420000,1900000,2900000,-34.48,2500000
2023,2,February,Q1,Marketing,1950000,1520000,430000,3850000,1900000,2.63,2250000
2023,3,March,Q1,Marketing,2050000,1580000,470000,5900000,1950000,5.13,1966667
2023,4,April,Q2,Marketing,2200000,1660000,540000,8100000,2050000,7.32,2066667
2023,5,May,Q2,Marketing,2350000,1750000,600000,10450000,2200000,6.82,2200000
2023,6,June,Q2,Marketing,2500000,1880000,620000,12950000,2350000,6.38,2350000
2023,7,July,Q3,Marketing,2400000,1820000,580000,15350000,2500000,-4.00,2416667
2023,8,August,Q3,Marketing,2450000,1840000,610000,17800000,2400000,2.08,2450000
2023,9,September,Q3,Marketing,2350000,1790000,560000,20150000,2450000,-4.08,2400000
2023,10,October,Q4,Marketing,2600000,1920000,680000,22750000,2350000,10.64,2466667
2023,11,November,Q4,Marketing,2700000,1990000,710000,25450000,2600000,3.85,2550000
2023,12,December,Q4,Marketing,2950000,2150000,800000,28400000,2700000,9.26,2750000
2024,1,January,Q1,Marketing,2000000,1550000,450000,2000000,2950000,-32.20,2550000
2024,2,February,Q1,Marketing,2080000,1600000,480000,4080000,2000000,4.00,2343333
2024,3,March,Q1,Marketing,2180000,1660000,520000,6260000,2080000,4.81,2086667
2024,4,April,Q2,Marketing,2280000,1720000,560000,8540000,2180000,4.59,2180000
2024,5,May,Q2,Marketing,2380000,1790000,590000,10920000,2280000,4.39,2280000
2024,6,June,Q2,Marketing,2480000,1860000,620000,13400000,2380000,4.20,2380000
2024,7,July,Q3,Marketing,2420000,1840000,580000,15820000,2480000,-2.42,2426667
2024,8,August,Q3,Marketing,2480000,1870000,610000,18300000,2420000,2.48,2460000
2024,9,September,Q3,Marketing,2380000,1810000,570000,20680000,2480000,-4.03,2426667
2024,10,October,Q4,Marketing,2560000,1910000,650000,23240000,2380000,7.56,2473333
2024,11,November,Q4,Marketing,2650000,1970000,680000,25890000,2560000,3.52,2530000
2024,12,December,Q4,Marketing,2850000,2100000,750000,28740000,2650000,7.55,2686667
2022,1,January,Q1,Operations,3100000,2500000,600000,3100000,NULL,NULL,3100000
2022,2,February,Q1,Operations,3050000,2480000,570000,6150000,3100000,-1.61,3075000
2022,3,March,Q1,Operations,3300000,2550000,750000,9450000,3050000,8.20,3150000
2022,4,April,Q2,Operations,3500000,2650000,850000,12950000,3300000,6.06,3283333
2022,5,May,Q2,Operations,3700000,2700000,1000000,16650000,3500000,5.71,3500000
2022,6,June,Q2,Operations,3900000,2800000,1100000,20550000,3700000,5.41,3700000
2022,7,July,Q3,Operations,3800000,2750000,1050000,24350000,3900000,-2.56,3800000
2022,8,August,Q3,Operations,3850000,2780000,1070000,28200000,3800000,1.32,3850000
2022,9,September,Q3,Operations,3700000,2700000,1000000,31900000,3850000,-3.90,3783333
2022,10,October,Q4,Operations,4000000,2900000,1100000,35900000,3700000,8.11,3850000
2022,11,November,Q4,Operations,4200000,3000000,1200000,40100000,4000000,5.00,3966667
2022,12,December,Q4,Operations,4500000,3200000,1300000,44600000,4200000,7.14,4233333
2023,1,January,Q1,Operations,3200000,2550000,650000,3200000,4500000,-28.89,3966667
2023,2,February,Q1,Operations,3250000,2580000,670000,6450000,3200000,1.56,3650000
2023,3,March,Q1,Operations,3400000,2620000,780000,9850000,3250000,4.62,3283333
2023,4,April,Q2,Operations,3600000,2680000,920000,13450000,3400000,5.88,3416667
2023,5,May,Q2,Operations,3750000,2730000,1020000,17200000,3600000,4.17,3583333
2023,6,June,Q2,Operations,3900000,2800000,1100000,21100000,3750000,4.00,3750000
2023,7,July,Q3,Operations,3800000,2760000,1040000,24900000,3900000,-2.56,3816667
2023,8,August,Q3,Operations,3850000,2780000,1070000,28750000,3800000,1.32,3850000
2023,9,September,Q3,Operations,3720000,2720000,1000000,32470000,3850000,-3.38,3790000
2023,10,October,Q4,Operations,4050000,2870000,1180000,36520000,3720000,8.87,3873333
2023,11,November,Q4,Operations,4200000,2940000,1260000,40720000,4050000,3.70,3990000
2023,12,December,Q4,Operations,4600000,3250000,1350000,45320000,4200000,9.52,4283333
2024,1,January,Q1,Operations,3350000,2620000,730000,3350000,4600000,-27.17,4050000
2024,2,February,Q1,Operations,3420000,2650000,770000,6770000,3350000,2.09,3790000
2024,3,March,Q1,Operations,3550000,2700000,850000,10320000,3420000,3.80,3440000
2024,4,April,Q2,Operations,3680000,2740000,940000,14000000,3550000,3.66,3550000
2024,5,May,Q2,Operations,3800000,2790000,1010000,17800000,3680000,3.26,3676667
2024,6,June,Q2,Operations,3920000,2840000,1080000,21720000,3800000,3.16,3800000
2024,7,July,Q3,Operations,3860000,2810000,1050000,25580000,3920000,-1.53,3860000
2024,8,August,Q3,Operations,3950000,2830000,1120000,29530000,3860000,2.33,3910000
2024,9,September,Q3,Operations,3800000,2770000,1030000,33330000,3950000,-3.80,3870000
2024,10,October,Q4,Operations,4050000,2880000,1170000,37380000,3800000,6.58,3933333
2024,11,November,Q4,Operations,4200000,2950000,1250000,41580000,4050000,3.70,4016667
2024,12,December,Q4,Operations,4550000,3300000,1250000,46130000,4200000,8.33,4266667
2022,1,January,Q1,Sales,4200000,2900000,1300000,4200000,NULL,NULL,4200000
2022,2,February,Q1,Sales,4350000,2950000,1400000,8550000,4200000,3.57,4275000
2022,3,March,Q1,Sales,4600000,3000000,1600000,13150000,4350000,5.75,4383333
2022,4,April,Q2,Sales,4800000,3100000,1700000,17950000,4600000,4.35,4583333
2022,5,May,Q2,Sales,5100000,3200000,1900000,23050000,4800000,6.25,4833333
2022,6,June,Q2,Sales,5400000,3300000,2100000,28450000,5100000,5.88,5100000
2022,7,July,Q3,Sales,5200000,3250000,1950000,33650000,5400000,-3.70,5233333
2022,8,August,Q3,Sales,5350000,3280000,2070000,39000000,5200000,2.88,5316667
2022,9,September,Q3,Sales,5000000,3150000,1850000,44000000,5350000,-6.54,5183333
2022,10,October,Q4,Sales,5600000,3400000,2200000,49600000,5000000,12.00,5316667
2022,11,November,Q4,Sales,5800000,3500000,2300000,55400000,5600000,3.57,5466667
2022,12,December,Q4,Sales,6200000,3700000,2500000,61600000,5800000,6.90,5866667
2023,1,January,Q1,Sales,4400000,3000000,1400000,4400000,6200000,-29.03,5466667
2023,2,February,Q1,Sales,4550000,3050000,1500000,8950000,4400000,3.41,5050000
2023,3,March,Q1,Sales,4800000,3150000,1650000,13750000,4550000,5.49,4583333
2023,4,April,Q2,Sales,5000000,3200000,1800000,18750000,4800000,4.17,4783333
2023,5,May,Q2,Sales,5250000,3300000,1950000,24000000,5000000,5.00,5016667
2023,6,June,Q2,Sales,5500000,3400000,2100000,29500000,5250000,4.76,5250000
2023,7,July,Q3,Sales,5300000,3320000,1980000,34800000,5500000,-3.64,5350000
2023,8,August,Q3,Sales,5450000,3360000,2090000,40250000,5300000,2.83,5416667
2023,9,September,Q3,Sales,5200000,3280000,1920000,45450000,5450000,-4.59,5316667
2023,10,October,Q4,Sales,5700000,3450000,2250000,51150000,5200000,9.62,5450000
2023,11,November,Q4,Sales,5900000,3520000,2380000,57050000,5700000,3.51,5600000
2023,12,December,Q4,Sales,6400000,3800000,2600000,63450000,5900000,8.47,6000000
2024,1,January,Q1,Sales,4600000,3100000,1500000,4600000,6400000,-28.13,5633333
2024,2,February,Q1,Sales,4750000,3150000,1600000,9350000,4600000,3.26,5250000
2024,3,March,Q1,Sales,5000000,3250000,1750000,14350000,4750000,5.26,4783333
2024,4,April,Q2,Sales,5200000,3300000,1900000,19550000,5000000,4.00,4983333
2024,5,May,Q2,Sales,5420000,3380000,2040000,24970000,5200000,4.23,5206667
2024,6,June,Q2,Sales,5600000,3460000,2140000,30570000,5420000,3.32,5406667
2024,7,July,Q3,Sales,5500000,3420000,2080000,36070000,5600000,-1.79,5506667
2024,8,August,Q3,Sales,5650000,3470000,2180000,41720000,5500000,2.73,5583333
2024,9,September,Q3,Sales,5400000,3380000,2020000,47120000,5650000,-4.42,5516667
2024,10,October,Q4,Sales,5800000,3520000,2280000,52920000,5400000,7.41,5616667
2024,11,November,Q4,Sales,6000000,3650000,2350000,58920000,5800000,3.45,5733333
2024,12,December,Q4,Sales,6500000,3900000,2600000,65420000,6000000,8.33,6100000
